"","Ho2017s013","Ho2017s040","Ho2017s047","Ho2017s024","Ho2017s033","Ho2017s026","Ho2017s039","Ho2017s031","Ho2017s034","Ho2017s044","Ho2017s022","Ho2017s045","Ho2017s027","Ho2017s005","Ho2017s030","Ho2017s023","Ho2017s028","Ho2017s042","Ho2017s006","Ho2017s043","Ho2017s029","Ho2017s007","Ho2017s032","Ho2017s001","Ho2017s037","Ho2017s041","Ho2017s025","Ho2017s036","Ho2017s002","Ho2017s038","Ho2017s008","taxonomy"
"5da6a26db66e35013653ee11259a2312",1,8,0,0,9,0,0,15,1,1,0,0,0,0,8,0,0,8,0,2,0,0,15,3,0,0,0,2,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas"
"302a896a9f1b4f1eba83095ff857f20a",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria"
"a567bbd95f22bd4ec9f2e3d3dd162a0a",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Rhodocyclaceae"
"9018b732ff8b509411bbd08f620e2249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Family XIII; D_5__Anaerovorax"
"c7d63e76efa55c185dc5c246fdadb131",0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Oceanospirillales; D_4__Halomonadaceae; D_5__Halomonas; D_6__Candidatus Halomonas phosphatis"
"07927d3c55bf4b680fb61ac3bd137fee",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Rikenellaceae"
"4dcc864e72d13101861ca2ea0ac46c1f",0,0,4,0,4,0,0,4,0,2,0,0,0,0,0,0,13,0,0,4,0,0,7,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Pedosphaerales; D_4__Pedosphaeraceae"
"4361d4d95f424fa5141bae98b8e1fdd9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae"
"9985a7f01bd630b987ea4c0051b4ed42",65,90,53,94,37,0,45,30,29,48,0,52,2,0,21,0,44,102,0,27,92,0,33,30,58,80,0,40,235,32,0,"D_0__Bacteria; D_1__Chloroflexi; D_2__OLB14; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium"
"a681dfd7e987725b0dbb64813573a083",0,0,5,0,0,0,0,0,0,6,0,17,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__Ignavibacteriales; D_4__Ignavibacteriaceae; D_5__Ignavibacterium"
"dcbce639f04cc85b58681a42918cad22",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae"
"f2c3c3d378b36eda23775e7db6e0bc6a",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Sphingopyxis"
"a66ab1162a29d1ce2dfb5b57d4adde33",4,0,0,40,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,34,0,0,"D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031"
"5b85cd30acd9bb8457d1b1f6a275ca8e",24,0,25,72,238,0,0,179,0,71,0,76,1,0,175,0,146,0,0,24,129,5,178,53,0,0,0,0,31,4,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidetes vadinHA17"
"20c70466aced92c6023a897f354e55cb",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__mle1-27"
"b83d017b0a02e86328d224b9583a96ea",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"D_0__Bacteria; D_1__Patescibacteria; D_2__Gracilibacteria; D_3__Absconditabacteriales (SR1)"
"5ab5dce0e0d4ad4f3933b98410a09eb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,"D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Flavobacteriales; D_4__Flavobacteriaceae; D_5__Flavobacterium"
